시군구,번지,아파트명,좌표X,좌표Y,elementary,elementary_dist,middle,middle_dist,high,high_dist,bus_station,bus_dist,subway_station,subway_dist,bus_walk,subway_walk,elementary_walk,middle_walk,high_walk
서울특별시 강남구 개포동,658-1,개포6차우성,127.05721,37.476763,서울포이초등학교,531,개포중학교,665,국립국악고등학교,641,개포우성아파트,76,구룡,1134,2,18,8,10,10
서울특별시 강남구 개포동,652,개포우성3차,127.0559898,37.4838941,서울개일초등학교,324,구룡중학교,252,개포고등학교,398,우성3차아파트,123,구룡,457,2,7,5,4,6
서울특별시 강남구 개포동,12-2,개포자이,127.0766243,37.4962963,서울대진초등학교,177,개원중학교,777,중동고등학교,557,코원에너지서비스,206,대청,447,4,7,3,12,9
서울특별시 강남구 개포동,141,개포주공1단지,127.0585214,37.4800022,서울개원초등학교,182,개포중학교,357,개포고등학교,560,개포주공1단지아파트,262,구룡,760,4,12,3,6,9
서울특별시 강남구 개포동,187,개포주공5단지,127.0680279,37.4878016,서울양전초등학교,317,개원중학교,570,경기여자고등학교,303,개포주공5단지경기여고,137,개포동,256,3,4,5,9,5
서울특별시 강남구 개포동,185,개포주공6단지,127.0726818,37.489122,서울개포초등학교,350,개원중학교,314,경기여자고등학교,841,개포주공7단지앞,118,대모산입구,250,2,4,6,5,13
서울특별시 강남구 논현동,245,동양파라곤,127.0381516,37.5147528,서울학동초등학교,321,언북중학교,764,영동고등학교,965,세관앞,203,강남구청,438,4,7,5,12,15
서울특별시 강남구 논현동,58-2,마일스디오빌,127.0289105,37.5138873,서울논현초등학교,678,언북중학교,775,현대고등학교,1480,학동역6번출구,82,학동,308,2,5,11,12,23
서울특별시 강남구 논현동,276-1,아크로힐스논현,127.0389311,37.509505,서울학동초등학교,316,언주중학교,1035,진선여자고등학교,1313,아크로힐스논현,89,선정릉,545,2,9,5,16,20
서울특별시 강남구 대치동,1014-3,대치삼성,127.0583563,37.4963363,서울도곡초등학교,559,단국대학교사범대학부속중학교,104,단국대학교부속소프트웨어고등학교,103,도곡초등학교,242,한티,609,4,10,9,2,2
서울특별시 강남구 대치동,974,대치현대,127.0610401,37.5008929,서울대현초등학교,422,휘문중학교,501,휘문고등학교,501,대치현대아파트,126,대치,755,2,12,7,8,8
서울특별시 강남구 대치동,988-4,대치효성,127.061209114,37.499905774,서울대현초등학교,499,휘문중학교,605,휘문고등학교,605,은마아파트입구사거리,183,대치,647,3,10,8,10,10
서울특별시 강남구 대치동,985,래미안대치하이스턴,127.0656002,37.5011653,서울대현초등학교,364,휘문중학교,610,휘문고등학교,610,대치2동주민센터.래미안하이스턴,127,학여울,747,2,12,6,10,10
서울특별시 강남구 대치동,1025,롯데캐슬리베,127.053809,37.496298,서울도곡초등학교,365,단국대학교사범대학부속중학교,447,단국대학교부속소프트웨어고등학교,447,한티역3번출구.서울강남고용노동지청,41,한티,105,1,2,6,7,7
서울특별시 강남구 대치동,891-6,테헤란로대우아이빌,127.0540217,37.5056902,서울도곡초등학교,689,진선여자중학교,740,진선여자고등학교,741,포스코빌딩,105,선릉,587,2,9,11,12,12
서울특별시 강남구 도곡동,527,도곡렉슬,127.0489846,37.4930287,서울대도초등학교,491,역삼중학교,324,중앙대학교사범대학부속고등학교,370,도곡렉슬아파트.강남세브란스병원,180,한티,560,3,9,8,5,6
서울특별시 강남구 도곡동,933,도곡쌍용예가,127.0390313,37.4870576,서울언주초등학교,262,은성중학교,448,은광여자고등학교,448,양재역,184,양재(서초구청),606,3,10,4,7,7
서울특별시 강남구 도곡동,934-10,도곡우성,127.0371243,37.488203,서울언주초등학교,213,은성중학교,212,은광여자고등학교,212,LPG가스충전소,308,양재(서초구청),547,5,9,4,4,4
서울특별시 강남구 도곡동,538-3,래미안도곡카운티,127.050853119,37.495329456,서울대도초등학교,414,역삼중학교,234,중앙대학교사범대학부속고등학교,406,한티역7번출구,85,한티,246,2,4,7,4,7
서울특별시 강남구 대치동,888,대치아이파크,127.0545833,37.4949838,서울대도초등학교,297,단국대학교사범대학부속중학교,362,단국대학교사범대학부속고등학교,362,단대부고.대치아이파크아파트,96,한티,236,2,4,5,6,6
서울특별시 강남구 대치동,316,은마,127.0650701,37.4977415,서울대곡초등학교,338,단국대학교사범대학부속중학교,846,단국대학교부속소프트웨어고등학교,846,은마아파트,276,대치,382,5,6,6,13,13
서울특별시 강남구 개포동,189,개포주공4단지,127.069984716026,37.4856994479252,서울개포초등학교,135,개원중학교,680,경기여자고등학교,522,개포4단지5단지,201,개포동,571,4,9,3,11,8
서울특별시 강남구 개포동,185,개포주공7단지,127.071512090879,37.4890750603132,서울양전초등학교,269,개원중학교,286,경기여자고등학교,716,개포6단지앞,141,대모산입구,289,3,5,5,5,11
서울특별시 강남구 개포동,655-1,개포현대200동,127.052680230811,37.4816930864641,서울구룡초등학교,116,구룡중학교,627,국립국악고등학교,623,현대아파트,66,매봉,878,1,14,2,10,10
서울특별시 강남구 개포동,649,경남1,127.054173895409,37.4845150908032,서울개일초등학교,440,구룡중학교,283,개포고등학교,584,현대아파트경남아파트,227,구룡,581,4,9,7,5,9
서울특별시 강남구 개포동,649,경남2차,127.054173895409,37.4845150908032,서울개일초등학교,440,구룡중학교,283,개포고등학교,584,현대아파트경남아파트,227,구룡,581,4,9,7,5,9
서울특별시 강남구 개포동,1164-30,뉴현대파크빌,127.054793428818,37.4748196766062,서울포이초등학교,282,개포중학교,1009,국립국악고등학교,402,도곡교회.인바디빌딩,86,구룡,1409,2,22,5,16,7
서울특별시 강남구 개포동,1204-5,리치타운,127.050374468179,37.4773499664347,서울포이초등학교,287,언남중학교,873,국립국악고등학교,175,개포4복합문화센터.달터공원,120,매봉,1138,2,18,5,14,3
서울특별시 강남구 개포동,12,삼익대청,127.075215384158,37.4941848052621,서울대진초등학교,445,개원중학교,509,중동고등학교,636,개포3동주민센터,201,대모산입구,418,4,7,7,8,10
서울특별시 강남구 개포동,1164-13,새롬,127.053095775644,37.4732831484008,서울포이초등학교,300,언남중학교,986,국립국악고등학교,375,능인선원앞,134,구룡,1635,3,25,5,15,6
서울특별시 강남구 개포동,12,성원대치2단지,127.075215384158,37.4941848052621,서울대진초등학교,445,개원중학교,509,중동고등학교,636,개포3동주민센터,201,대모산입구,418,4,7,7,8,10
서울특별시 강남구 개포동,656,시영,127.053931131334,37.4763198941657,서울포이초등학교,165,개포중학교,990,국립국악고등학교,274,강남구민체육관,31,구룡,1290,1,20,3,15,5
서울특별시 강남구 개포동,1164-7,아람손프라자/비바빌,127.052232361406,37.4727147255079,서울포이초등학교,358,언남중학교,885,국립국악고등학교,400,능인선원앞,33,양재시민의숲(매헌),1563,1,24,6,14,6
서울특별시 강남구 개포동,166-4,에버그린,127.06129010887,37.4829142156404,서울개현초등학교,240,개포중학교,240,개포고등학교,309,개포1단지연금매장,73,구룡,513,2,8,4,4,5
서울특별시 강남구 개포동,179,우성8,127.06238827098,37.4881845388175,서울대치초등학교,345,대청중학교,514,경기여자고등학교,369,수도공고,70,구룡,420,2,7,6,8,6
서울특별시 강남구 개포동,651-1,우성9차,127.057251233763,37.4848296233372,서울개일초등학교,164,구룡중학교,194,개포고등학교,241,구룡중학교앞,109,구룡,286,2,5,3,3,4
서울특별시 강남구 개포동,1260-2,우찬현대,127.048780998132,37.4795090930094,서울구룡초등학교,382,대치중학교,596,국립국악고등학교,472,광수빌딩,79,매봉,856,2,13,6,9,8
서울특별시 강남구 개포동,1260-4,우찬현대,127.049129808384,37.4795458898623,서울구룡초등학교,347,대치중학교,605,국립국악고등학교,452,광수빌딩,59,매봉,863,1,13,6,10,7
서울특별시 강남구 개포동,172-3,현대,127.05996521015,37.4843082150406,서울개일초등학교,326,개포중학교,433,개포고등학교,95,개포고등학교,147,구룡,307,3,5,5,7,2
서울특별시 강남구 개포동,653,현대1차101동~106동,127.054425938151,37.4826695293008,서울구룡초등학교,338,구룡중학교,431,개포고등학교,610,현대1차아파트,95,구룡,676,2,11,6,7,10
서울특별시 강남구 개포동,654,현대2,127.05125279339,37.4824775018158,서울구룡초등학교,154,대치중학교,521,국립국악고등학교,696,현대아파트,177,매봉,703,3,11,3,8,11
서울특별시 강남구 개포동,177,현대,127.060955866212,37.4878922787897,서울대치초등학교,401,대청중학교,405,개포고등학교,370,수도공고앞,138,구룡,261,3,4,7,7,6
서울특별시 강남구 논현동,195-1,e-편한세상,127.028750012694,37.5068623128038,서울논현초등학교,331,서일중학교,1112,반포고등학교,1433,베스트웨스턴강남호텔,148,신논현,481,3,8,5,17,22
서울특별시 강남구 논현동,196,거평프리젠,127.02763715364,37.5063698187338,서울논현초등학교,278,서일중학교,1001,반포고등학교,1298,르메르디앙호텔.노보텔,115,신논현,348,2,6,5,16,20
서울특별시 강남구 논현동,274,경남논현,127.038198973038,37.5106817873212,서울학동초등학교,235,언주중학교,1042,영동고등학교,1341,논현아이파크,218,선정릉,609,4,10,4,16,21
서울특별시 강남구 논현동,103-11,골든캐슬,127.038855917118,37.5196769241913,서울언북초등학교,654,언북중학교,638,영동고등학교,576,영동고등학교현대아파트,201,강남구청,354,4,6,10,10,9
서울특별시 강남구 논현동,212-13,논현동월드메르디앙,127.034141126794,37.5135186704047,서울학동초등학교,623,언북중학교,667,영동고등학교,1381,펜트힐루논현.임피리얼팰리스호텔,113,학동,287,2,5,10,10,21
서울특별시 강남구 논현동,192-3,논현동프라임,127.032832479505,37.5081771663548,서울논현초등학교,736,언북중학교,1252,진선여자고등학교,1839,언주역2번출구.차병원사거리,64,언주,152,1,3,12,19,28
서울특별시 강남구 논현동,205-2,논현동한화꿈에그린,127.030395375198,37.5068232477705,서울논현초등학교,497,서일중학교,1220,반포고등학교,1606,베스트웨스턴강남호텔,82,언주,389,2,6,8,19,25
