iter	RMSE
0	0.568866387
1	0.559356309
2	0.5500995461
3	0.5410071752
4	0.5320467291
5	0.5233693747
6	0.5147707899
7	0.5063883327
8	0.4981662569
9	0.4901809647
10	0.4823491063
11	0.4746828525
12	0.4671937663
13	0.4598227459
14	0.4526054035
15	0.4455561047
16	0.4386338664
17	0.4318748446
18	0.4252730158
19	0.418812464
20	0.4125000343
21	0.4063475551
22	0.4003393719
23	0.3943213439
24	0.3885371161
25	0.3828871089
26	0.3773193868
27	0.3718822325
28	0.3666137461
29	0.3613812755
30	0.3563380582
31	0.3513269032
32	0.3465066223
33	0.3417400484
34	0.3371545338
35	0.3325888595
36	0.3281944476
37	0.3238789444
38	0.3196833629
39	0.3155114163
40	0.3114724233
41	0.307527396
42	0.3036306428
43	0.2998914441
44	0.296220487
45	0.2925989132
46	0.2891010958
47	0.2856442946
48	0.2822798358
49	0.2790153347
50	0.2758117518
51	0.2726562757
52	0.2696283693
53	0.2667020956
54	0.2637495421
55	0.2609296468
56	0.2582052945
57	0.2555289331
58	0.2528705704
59	0.2502794081
60	0.2477385844
61	0.2452079101
62	0.2427999055
63	0.2404457111
64	0.2381415756
65	0.2359171818
66	0.2336960186
67	0.2315701014
68	0.2295169515
69	0.2274325906
70	0.2254610034
71	0.2235256975
72	0.2216169452
73	0.2197778772
74	0.2179926358
75	0.2162140842
76	0.2144548839
77	0.2127915059
78	0.2111623272
79	0.2095611864
80	0.2078942752
81	0.2062736653
82	0.2047620981
83	0.2032752098
84	0.2017778822
85	0.200416246
86	0.1989785103
87	0.1976005909
88	0.1962658851
89	0.1949699169
90	0.1937826935
91	0.1925119701
92	0.1913149724
93	0.190211874
94	0.188992951
95	0.1879310582
96	0.1867545056
97	0.1856992096
98	0.184705282
99	0.183659612
100	0.1826741299
101	0.181676496
102	0.1807761559
103	0.1798530827
104	0.1788956114
105	0.17801026
106	0.1771734714
107	0.1762798341
108	0.175433643
109	0.1746127678
110	0.1738044426
111	0.1729882762
112	0.1721900491
113	0.1714641147
114	0.1706516026
115	0.1699303923
116	0.1692407123
117	0.1685144697
118	0.1678294762
119	0.1671418031
120	0.1664939077
