iter	Passed	Remaining
0	480	926562
1	656	633400
2	835	536903
3	1032	497398
4	1235	475854
5	1448	464694
6	1645	452279
7	1839	442205
8	2025	432508
9	2221	426756
10	2443	426565
11	2647	423412
12	2856	421499
13	3025	414230
14	3190	407563
15	3370	403425
16	3553	400102
17	3716	394985
18	3880	390459
19	4048	386802
20	4207	382678
21	4387	380749
22	4571	379230
23	4753	377708
24	4919	375075
25	5087	372785
26	5248	370096
27	5418	368268
28	5594	366902
29	5768	365548
30	5954	364977
31	6115	362900
32	6304	362576
33	6495	362429
34	6667	361189
35	6840	360052
36	7032	360006
37	7212	359284
38	7400	359012
39	7587	358713
40	7768	358106
41	7942	357233
42	8108	356029
43	8291	355608
44	8463	354723
45	8630	353672
46	8800	352762
47	8989	352646
48	9159	351783
49	9332	351105
50	9518	350886
51	9686	350022
52	9865	349565
53	10053	349451
54	10213	348358
55	10405	348393
56	10586	348041
57	10779	348098
58	10968	348020
59	11153	347801
60	11329	347318
61	11521	347314
62	11694	346753
63	11871	346302
64	12066	346388
65	12243	345977
66	12430	345818
67	12627	345959
68	12844	346608
69	13020	346158
70	13204	345932
71	13396	345895
72	13583	345723
73	13780	345819
74	13983	346034
75	14161	345654
76	14340	345278
77	14526	345097
78	14703	344704
79	14887	344459
80	15072	344241
81	15238	343613
82	15451	344022
83	15643	343970
84	15835	343915
85	16025	343812
86	16225	343901
87	16437	344250
88	16628	344159
89	16835	344384
90	17034	344440
91	17202	343861
92	17370	343309
93	17566	343292
94	17763	343305
95	17940	342934
96	18133	342858
97	18304	342368
98	18493	342216
99	18695	342313
100	18909	342625
101	19103	342543
102	19292	342393
103	19484	342285
104	19677	342201
105	19865	342022
106	20065	342054
107	20223	341360
108	20418	341311
109	20610	341203
110	20779	340716
111	20958	340382
112	21151	340295
113	21320	339818
114	21516	339770
115	21704	339600
116	21881	339250
117	22095	339486
118	22283	339301
119	22461	338985
120	22663	339023
121	22856	338914
122	23046	338768
123	23249	338810
124	23460	338950
125	23638	338633
126	23858	338909
127	24063	338953
128	24250	338749
129	24430	338455
130	24655	338784
131	24888	339194
132	25079	339050
133	25304	339343
134	25505	339319
135	25694	339127
136	25907	339255
137	26096	339064
138	26298	339039
139	26486	338838
140	26679	338691
141	26878	338628
142	27070	338481
143	27286	338615
144	27471	338375
145	27657	338142
146	27869	338227
147	28071	338180
148	28263	338022
149	28466	337993
150	28662	337872
151	28851	337673
152	29044	337522
153	29237	337370
154	29427	337178
155	29618	337002
156	29837	337144
157	30057	337287
158	30261	337253
159	30470	337266
160	30671	337193
161	30878	337186
162	31101	337349
163	31317	337425
164	31524	337407
165	31720	337268
166	31953	337519
167	32149	337380
168	32368	337477
169	32554	337223
170	32771	337293
171	32942	336898
172	33177	337147
173	33384	337108
174	33548	336639
175	33723	336273
176	33901	335953
177	34082	335652
178	34251	335246
179	34427	334905
180	34611	334639
181	34799	334422
182	34973	334064
183	35136	333607
184	35340	333537
185	35507	333117
186	35729	333223
187	35941	333220
188	36156	333248
189	36343	333024
190	36515	332653
191	36740	332767
192	36946	332714
193	37148	332609
194	37362	332621
195	37559	332478
196	37782	332561
197	37956	332212
198	38131	331879
199	38360	332005
200	38520	331547
201	38714	331371
202	38915	331257
203	39067	330735
204	39269	330632
205	39477	330578
206	39679	330466
207	39914	330640
208	40104	330428
209	40348	330663
210	40550	330549
211	40765	330542
212	40963	330404
213	41162	330265
214	41365	330156
215	41586	330191
216	41839	330475
217	41996	330000
218	42202	329911
219	42393	329702
220	42596	329594
221	42828	329705
222	43043	329675
223	43231	329443
224	43381	328929
225	43628	329147
226	43855	329206
227	44069	329168
228	44287	329159
229	44508	329169
230	44647	328571
231	44825	328266
232	45039	328231
233	45198	327784
234	45418	327784
235	45651	327877
236	45884	327967
237	46126	328121
238	46291	327720
239	46462	327366
240	46718	327609
241	46937	327590
242	47102	327195
243	47295	326998
244	47516	326993
245	47747	327051
246	47970	327053
247	48133	326650
248	48337	326518
249	48577	326636
250	48761	326368
251	48965	326245
252	49179	326176
253	49379	326022
254	49597	325983
255	49828	326023
256	49979	325544
257	50175	325363
258	50380	325237
259	50595	325174
260	50786	324955
261	51016	324984
262	51173	324554
263	51391	324504
264	51573	324230
265	51727	323782
266	51938	323692
267	52118	323407
268	52301	323143
269	52455	322699
270	52669	322626
271	52883	322551
272	53110	322552
273	53268	322136
274	53472	322001
275	53644	321670
276	53873	321684
277	54125	321832
278	54313	321598
279	54538	321580
280	54742	321440
281	54970	321439
282	55120	320982
283	55300	320703
284	55516	320632
285	55683	320278
286	55880	320097
287	56067	319857
288	56287	319807
289	56521	319832
290	56720	319661
291	56913	319458
292	57143	319456
293	57379	319489
294	57621	319554
295	57806	319304
296	58038	319310
297	58265	319287
298	58480	319199
299	58722	319255
300	58890	318907
301	59084	318703
302	59310	318670
303	59463	318246
304	59676	318141
305	59890	318044
306	60100	317923
307	60264	317563
308	60466	317401
309	60651	317149
310	60891	317181
311	61109	317105
312	61279	316774
313	61498	316697
314	61712	316593
315	61925	316486
316	62104	316205
317	62254	315774
318	62451	315584
319	62659	315449
320	62877	315366
321	63027	314941
322	63250	314881
323	63474	314824
324	63690	314727
325	63838	314296
326	64035	314106
327	64225	313881
328	64444	313801
329	64659	313698
330	64831	313383
331	65041	313258
332	65259	313167
333	65414	312776
334	65599	312527
335	65823	312465
336	66046	312399
337	66244	312210
338	66408	311865
339	66599	311648
340	66798	311464
341	67003	311313
342	67183	311041
343	67399	310940
344	67635	310928
345	67870	310909
346	68083	310788
347	68277	310584
348	68461	310332
349	68683	310251
350	68893	310120
351	69087	309912
352	69306	309818
353	69452	309398
354	69653	309223
355	69828	308932
356	70061	308898
357	70273	308772
358	70499	308705
359	70723	308629
360	70880	308261
361	71072	308044
362	71231	307688
363	71448	307580
364	71648	307402
365	71878	307351
366	72045	307028
367	72279	306991
368	72528	307019
369	72739	306883
370	72965	306808
371	73195	306751
372	73376	306488
373	73602	306414
374	73834	306364
375	74060	306289
376	74302	306276
377	74472	305966
378	74688	305847
379	74861	305551
380	75090	305484
381	75250	305140
382	75450	304952
383	75664	304823
384	75894	304759
385	76111	304644
386	76326	304515
387	76540	304384
388	76770	304319
389	76954	304067
390	77150	303868
391	77374	303772
392	77597	303675
393	77811	303545
394	78009	303349
395	78205	303146
396	78377	302849
397	78575	302654
398	78820	302638
399	79050	302566
400	79239	302337
401	79434	302128
402	79652	302007
403	79867	301874
404	80041	301587
405	80269	301506
406	80448	301238
407	80698	301236
408	80916	301111
409	81156	301070
410	81335	300801
411	81540	300631
412	81736	300424
413	81951	300291
414	82163	300142
415	82371	299984
416	82530	299643
417	82741	299493
418	82958	299362
419	83176	299238
420	83364	299001
421	83564	298811
422	83740	298536
423	83938	298338
424	84140	298152
425	84355	298016
426	84570	297879
427	84782	297727
428	85003	297609
429	85225	297497
430	85379	297144
431	85586	296975
432	85830	296938
433	86006	296663
434	86195	296431
435	86412	296298
436	86606	296088
437	86781	295810
438	87025	295766
439	87263	295704
440	87472	295542
441	87700	295444
442	87898	295243
443	88055	294905
444	88270	294762
445	88489	294635
446	88700	294478
447	88916	294336
448	89131	294192
449	89335	294011
450	89520	293768
451	89670	293414
452	89864	293199
453	90075	293041
454	90311	292965
455	90525	292818
456	90707	292567
457	90920	292415
458	91121	292224
459	91254	291814
460	91474	291686
461	91689	291539
462	91901	291386
463	92113	291230
464	92314	291037
465	92520	290864
466	92709	290636
467	92913	290454
468	93132	290320
469	93288	289987
470	93486	289789
471	93680	289575
472	93854	289301
473	94055	289111
474	94243	288879
475	94445	288695
476	94642	288491
477	94854	288334
478	95057	288148
479	95187	287742
480	95391	287562
481	95593	287375
482	95794	287184
483	95980	286948
484	96210	286845
485	96428	286707
486	96634	286531
487	96852	286390
488	97053	286200
489	97261	286028
490	97486	285906
491	97638	285572
492	97850	285414
493	98016	285121
494	98236	284985
495	98463	284868
496	98649	284633
497	98828	284380
498	99054	284261
499	99289	284165
500	99495	283988
501	99712	283843
502	99890	283585
503	100106	283436
504	100324	283292
505	100457	282908
506	100683	282786
507	100884	282595
508	101088	282413
509	101301	282254
510	101459	281942
511	101681	281808
512	101893	281647
513	102082	281422
514	102244	281121
515	102425	280875
516	102661	280780
517	102868	280605
518	103084	280452
519	103260	280192
520	103410	279863
521	103618	279691
522	103841	279556
523	103963	279153
524	104192	279036
525	104399	278862
526	104621	278725
527	104842	278586
528	105052	278418
529	105243	278201
530	105436	277986
531	105626	277764
532	105811	277532
533	105967	277222
534	106158	277003
535	106375	276853
536	106580	276671
537	106814	276565
538	107000	276335
539	107180	276089
540	107404	275956
