승차역,2019년1월,2019년2월,2019년3월,2019년4월,2019년5월,2019년6월,2019년7월,2019년8월,2019년9월,2019년10월,2019년11월,2019년12월,2020년1월,2020년2월,2020년3월,2020년4월,2020년5월,2020년6월,2020년7월,2020년8월,2020년9월,2020년10월,2020년11월,2020년12월,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월,2022년1월,2022년2월,2022년3월,2022년4월,2022년5월,2022년6월,2022년7월,2022년8월,2022년9월,2022년10월,2022년11월,2022년12월,2023년1월,2023년2월,2023년3월,2023년4월,2023년5월,2023년6월,2023년7월,2023년8월,2023년9월,2023년10월,2023년11월,2023년12월,2024년1월,2024년2월,2024년3월,2024년4월,2024년5월,2024년6월,2024년7월,2024년8월,2024년9월
수서,627146,579027,626627,626476,654936,625416,644584,648931,637593,680627,684894,695510,655365,453472,266782,370144,496445,510535,560347,496939,403908,507604,537641,352151,331185,393004,527154,543125,575511,566518,518227,508508,494279,600675,613449,602896,557240,481207,530089,616890,679983,651684,675422,662469,642217,699030,676957,688165,658268,632417,682493,683332,701296,680890,687068,686947,684804,700498,698060,716348,664462,635260,680073,642825,660063,636478,637288,646336,629308
동탄,134649,125045,137216,137221,144425,137403,141561,143062,140114,149262,150558,152622,150813,100071,63428,82716,109451,112983,124456,112553,89919,114965,121058,83938,82989,93756,122127,125644,137190,130916,121664,123029,120747,148244,153004,150383,138989,116949,130074,154081,175961,166991,171091,164210,161817,174975,166123,172274,164732,157853,168318,167622,178602,168172,172482,167914,173698,178411,177778,186694,160461,160089,165175,140550,151582,142629,146927,150796,147324
평택지제,53606,51730,57297,57033,59610,59050,60158,62961,59445,64648,65795,69102,65428,47317,32615,41338,54299,56506,62884,56031,48131,59315,61799,46086,44234,49866,65723,69532,73744,70748,68011,66719,66177,81648,82648,85590,76105,67022,75286,88370,97866,93908,99904,96155,95531,103273,99381,105563,98009,93653,102687,101042,103243,99701,103607,99165,106729,110483,109638,120468,103169,101849,108955,107089,111784,107412,106605,108783,105276
천안아산,82968,73292,87634,86203,89797,87230,87780,87910,87052,96037,98100,97055,88319,63715,40176,55122,72209,74169,79779,69756,59263,74026,76771,55157,52421,56311,78160,81130,84758,82975,78128,76731,74256,93494,96888,95842,84314,73319,86330,96337,104008,97139,98858,95024,96343,104450,103530,104562,94279,95111,107292,103599,105233,102602,102266,100364,101355,101812,104484,106145,91899,87140,100804,100402,102458,96986,93171,94221,93768
오송,75126,67038,78044,79308,82051,79902,81995,81211,76981,88445,89633,89254,80749,59682,37799,50840,69387,72577,78213,66745,56534,71526,75547,50892,48021,53829,75128,76438,81271,81911,76390,73187,69704,86750,89409,88894,79724,68011,77924,89439,98106,94779,96074,93502,90453,98260,100545,102218,91606,92349,102514,99862,102006,101587,101273,100234,98782,101468,103406,105070,96107,90370,100956,100177,103160,97589,97083,97733,92388
대전,133009,119751,138613,135709,141300,136225,136453,136435,135304,148626,152219,148254,133422,94347,54724,78789,109443,105973,111614,100473,86503,109316,114648,75974,70141,82707,113141,113195,121709,117375,108910,104454,103228,127522,127828,128414,115228,100370,113803,130379,142061,136741,137903,131082,133301,143397,140869,146006,133937,133942,145845,145440,147221,146979,149857,146125,143196,142926,144005,153560,137046,134033,146898,145105,152404,145579,146135,148809,141454
김천구미,24859,22916,24416,24122,24592,23651,24779,25034,24195,24957,25451,25069,24112,16225,8040,13812,19555,20213,22191,19536,16514,20539,20048,13741,13051,15650,20386,20985,20811,20285,19929,19734,19120,21941,20832,20899,19956,17869,19145,21283,23013,21849,23061,22181,22121,22962,22712,23748,23407,21568,22947,22405,23519,22939,24626,23304,23033,23135,22409,23519,21975,21871,22406,21654,22310,21447,21580,21507,21414
서대구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,8917,10741,9777,10804,10623,10229,10558,9948,11153,11819,9932,10502,10259,11282,10815,11830,11698,10698,12104,10684,12163,12017,11922,11370,10871,11556,11308,11209,11701,11857
동대구,211786,204095,221352,214430,223357,214728,217093,219882,219086,231513,240236,235992,226087,131694,42343,92000,151489,159304,182367,164332,129131,176132,176669,118341,111872,134276,171431,176510,196997,180620,168437,168000,169063,201218,201251,195074,181214,164262,174642,199136,221550,207226,213607,207998,209988,226017,216386,216359,212874,198752,217097,216755,223736,214343,223826,217653,209808,219563,210955,221392,202327,200902,213286,205744,218063,205998,202574,206040,203969
신경주,25806,25611,29644,32595,32136,30271,28956,32458,30197,38466,34811,30528,28968,18356,7902,13553,21865,21577,24851,26231,17188,25436,26991,14755,14542,18913,24934,28402,30248,28072,26548,27621,25727,35414,34697,29919,30128,28534,28203,41285,43774,40633,41174,43498,37362,48669,43023,38372,38772,40863,40827,48387,45115,42965,43701,45483,36999,46246,41343,37631,36322,36811,40420,43612,41272,38661,36374,40502,38100
울산,80616,77763,82627,79094,83211,80737,81514,84048,80732,87278,89451,86819,86638,56724,30884,46116,67072,64353,69384,63079,46986,64697,65499,42382,42945,50322,63809,62959,67423,66216,62365,63567,61659,74446,75536,72177,67568,59664,62811,73376,83879,79199,81245,81386,80592,88354,82580,83000,83501,77094,83562,81373,86364,81918,85621,84071,79930,84922,80089,82252,77693,76780,79445,75756,79760,76872,77717,79999,77566
부산,247548,239363,244573,236391,258800,249770,249718,266956,239120,263159,269276,272813,260389,160171,80856,118067,176510,174075,198861,194042,123529,171645,180291,106404,108041,138059,172667,169860,199077,196141,175719,167889,162391,209367,216516,207647,198802,179771,172147,213800,261796,249652,262955,272798,228987,269803,252109,256615,255642,250474,242280,252039,271274,256879,272205,280737,229557,259999,243069,256797,244099,237903,240929,235551,257911,246500,247171,267890,238238
