역명,단위,승차인원,하차인원
서울,명,19816269 ,19818124 
용산,명,6964568 ,7078708 
행신,명,1065105 ,1016283 
도라산,명,2074 ,2074 
서빙고,명,9 ,0
문산,명,413 ,413 
능곡,명,466 ,466 
임진강,명,904 ,904 
영등포,명,3552120 ,3593417 
안양,명,204541 ,181327 
수원,명,5550580 ,5644590 
오산,명,86770 ,94113 
서정리,명,30052 ,38729 
평택,명,2154159 ,2115390 
광명,명,5867078 ,5851808 
덕소,명,43783 ,49513 
양평,명,583316 ,560090 
용문,명,123053 ,114633 
지평,명,16475 ,16304 
석불,명,2689 ,3081 
일신,명,5383 ,5547 
매곡,명,4749 ,4850 
양동,명,81480 ,84042 
삼산,명,1857 ,1767 
청량리,명,2816529 ,2887576 
광운대,명,1955 ,1968 
동두천,명,1882 ,1882 
춘천,명,604 ,235 
상봉,명,223945 ,245516 
부발,명,51906 ,53713 
서원주,명,91712 ,90954 
원주,명,687189 ,668830 
판교(경기),명,2013 ,1915 
의정부,명,423 ,423 
가평,명,0 ,369 
만종,명,588353 ,563767 
철암,명,31898 ,32937 
동백산,명,8249 ,8312 
도계,명,49639 ,49027 
신기,명,986 ,840 
동해,명,319928 ,327018 
묵호,명,142629 ,129436 
정동진,명,118587 ,127164 
강릉,명,1502241 ,1498028 
태백,명,115848 ,114042 
횡성,명,130928 ,133094 
둔내,명,68744 ,70957 
평창,명,132746 ,138299 
진부,명,194832 ,195180 
성환,명,29004 ,38622 
천안,명,2206649 ,2203184 
전의,명,35428 ,32493 
조치원,명,1413620 ,1422168 
부강,명,51037 ,49274 
신탄진,명,630408 ,616213 
대전,명,8234873 ,8302777 
옥천,명,198457 ,184583 
이원,명,12031 ,8649 
지탄,명,408 ,234 
심천,명,5641 ,6385 
각계,명,264 ,58 
영동,명,454900 ,461388 
황간,명,34331 ,34336 
추풍령,명,17172 ,15000 
서대전,명,1849836 ,1782578 
계룡,명,307074 ,299545 
연산,명,13119 ,12677 
논산,명,596051 ,600660 
강경,명,108549 ,111066 
오송,명,4494607 ,4395494 
청주,명,116426 ,124087 
오근장,명,147215 ,142597 
청주공항,명,55994 ,59237 
증평,명,116456 ,110296 
음성,명,68293 ,67750 
아산,명,406343 ,380885 
온양온천,명,305510 ,292558 
도고온천,명,19928 ,19233 
신례원,명,57734 ,56614 
예산,명,336950 ,337011 
삽교,명,125621 ,119988 
홍성,명,481795 ,483696 
광천,명,131642 ,129517 
청소,명,6321 ,6108 
대천,명,467215 ,470856 
판교(충남),명,17096 ,18126 
서천,명,113179 ,116526 
장항,명,53766 ,53982 
천안아산,명,4342971 ,4338360 
공주,명,144579 ,142509 
웅천,명,53678 ,55010 
봉양,명,4318 ,3849 
제천,명,841734 ,830087 
단양,명,115849 ,114956 
주덕,명,41998 ,40328 
충주,명,368381 ,360690 
삼탄,명,2562 ,2978 
별어곡,명,105 ,52 
선평,명,68 ,51 
정선,명,7619 ,8648 
나전,명,297 ,178 
아우라지,명,1370 ,1868 
쌍룡,명,1198 ,873 
영월,명,97508 ,93941 
예미,명,13142 ,12296 
민둥산,명,26313 ,25687 
사북,명,85215 ,86405 
고한,명,34313 ,33290 
가남,명,1446 ,1252 
감곡장호원,명,9639 ,7608 
앙성온천,명,4147 ,3575 
백양사,명,20946 ,22737 
장성,명,100782 ,103784 
광주송정,명,2782796 ,2827417 
나주,명,455062 ,444620 
다시,명,2507 ,2891 
함평,명,36189 ,37485 
무안,명,3343 ,4358 
몽탄,명,4311 ,4701 
일로,명,18920 ,17579 
임성리,명,4568 ,3690 
목포,명,1001637 ,1014066 
극락강,명,24600 ,24069 
광주,명,251639 ,257913 
이양,명,1721 ,1864 
능주,명,2091 ,1938 
화순,명,9376 ,9344 
효천,명,12714 ,10332 
서광주,명,5561 ,5835 
함열,명,36121 ,37558 
익산,명,2599264 ,2557103 
김제,명,185293 ,188600 
신태인,명,39689 ,42019 
정읍,명,589995 ,596428 
삼례,명,53007 ,51409 
전주,명,1749904 ,1742873 
임실,명,42333 ,40162 
오수,명,33325 ,33655 
남원,명,406993 ,411359 
군산,명,207480 ,225131 
대야,명,3278 ,3289 
곡성,명,128309 ,133223 
구례구,명,104175 ,107857 
순천,명,1354161 ,1344116 
여천,명,437602 ,425990 
여수엑스포,명,796472 ,807503 
진상,명,8168 ,7764 
광양,명,12122 ,13282 
벌교,명,8598 ,8859 
조성,명,4220 ,3413 
예당,명,4962 ,3864 
득량,명,4194 ,3906 
보성,명,25862 ,24333 
명봉,명,1141 ,1207 
김천,명,783216 ,788389 
구미,명,2001839 ,2024096 
약목,명,42194 ,49652 
왜관,명,668582 ,660165 
신동,명,3504 ,4626 
대구,명,1849929 ,1851062 
동대구,명,9183028 ,9211175 
경산,명,993565 ,955043 
남성현,명,2981 ,3215 
청도,명,421118 ,426739 
북영천,명,2380 ,2571 
영천,명,368896 ,375305 
아화,명,7280 ,7613 
하양,명,355177 ,325796 
김천구미,명,1096395 ,1092861 
경주,명,1302173 ,1317261 
서경주,명,31896 ,33161 
안강,명,10306 ,10330 
포항,명,1476785 ,1486369 
월포,명,7501 ,6421 
장사,명,5903 ,4481 
강구,명,8891 ,8228 
영덕,명,43414 ,42219 
서대구,명,637729 ,625768 
풍기,명,82358 ,82694 
영주,명,354566 ,349259 
의성,명,37423 ,36708 
탑리,명,9007 ,9485 
화본,명,6725 ,5889 
신녕,명,2182 ,2603 
옥산,명,9234 ,9008 
청리,명,3414 ,2888 
상주,명,37041 ,34423 
함창,명,4760 ,4199 
점촌,명,29828 ,29423 
용궁,명,2986 ,3318 
개포,명,8048 ,6101 
예천,명,13434 ,12751 
봉화,명,7034 ,7854 
춘양,명,6655 ,7125 
임기,명,182 ,118 
현동,명,758 ,710 
분천,명,35325 ,32276 
양원,명,1266 ,1068 
승부,명,2404 ,2898 
석포,명,4502 ,5371 
안동,명,414058 ,413120 
상동,명,33992 ,33630 
밀양,명,1058202 ,1069572 
삼랑진,명,146560 ,145734 
원동,명,72366 ,73229 
물금,명,443279 ,415874 
화명,명,76487 ,64582 
구포,명,1299201 ,1335153 
사상,명,29296 ,32804 
부산,명,7941054 ,7931532 
부전,명,241720 ,254426 
센텀,명,37477 ,36463 
신해운대,명,83990 ,92894 
기장,명,37796 ,36408 
남창,명,22603 ,20746 
태화강,명,361224 ,355364 
한림정,명,5845 ,6779 
진영,명,251564 ,243614 
창원,명,299393 ,324979 
마산,명,609644 ,607832 
중리,명,34060 ,28951 
함안,명,35016 ,33840 
군북,명,26510 ,26393 
반성,명,10782 ,11856 
진주,명,527050 ,513516 
완사,명,4169 ,4168 
북천,명,9358 ,9549 
횡천,명,7106 ,6981 
하동,명,33498 ,33765 
울산,명,2199031 ,2213715 
진례,명,3224 ,3112 
창원중앙,명,1223009 ,1191736 
북울산,명,214608 ,204314 
